ID,Barcode,ProductName,Category,SearchDate,BranchID,Branch Name,ItemFoundStatus
1,9780340733509,Power of Now,10232-E Spirituality,2025-02-26 15:58:40.880,2,Zamalek,Found
2,,الف ليله و ليله,,2025-02-26 15:58:51.490,2,Zamalek,Not Found
3,9781623717247,All That's Left to Y,10140-E Arabic Literature in Translation,2025-02-26 16:02:52.130,2,Zamalek,Found
4,9789775864277,The Golden Years of,10213-E Performing Arts,2025-02-26 16:40:36.160,2,Zamalek,Found
5,9786009950275,Blue Candle Connecti,10075-Candles,2025-02-26 16:42:04.647,2,Zamalek,Found
6,9786009950237,Pyramid Candle Cup R,10075-Candles,2025-02-26 16:42:26.540,2,Zamalek,Found
7,9786010043084,Palestine 8*16 Spira,10312-Notebooks,2025-02-26 16:44:43.650,2,Zamalek,Found
8,9789775864338,VIVE L'AMOUR,10213-E Performing Arts,2025-02-26 16:45:59.333,2,Zamalek,Found
9,9780241631621,15 Minute Arabic,10177-E Foreign Language Study,2025-02-26 17:04:15.700,2,Zamalek,Found
10,9781914325113,Effendina,10205-E Middle East History & Current Affairs,2025-02-26 17:11:10.883,2,Zamalek,Found
11,9789774169298,Neslishah,10163-E Egypt Essentials,2025-02-26 17:11:19.213,2,Zamalek,Found
12,9789774168680,Classic Egyptian Mov,10213-E Performing Arts,2025-02-26 17:11:36.607,2,Zamalek,Found
13,9781783605965,God Dies by the Nile,10199-E Literary Fiction,2025-02-26 17:18:04.187,2,Zamalek,Found
14,9789774161926,Vintage Alexandria,10163-E Egypt Essentials,2025-02-26 17:19:15.767,2,Zamalek,Found
15,9789774167829,Nubian Gold,10163-E Egypt Essentials,2025-02-26 17:21:23.767,2,Zamalek,Found
16,9781406360219,Skeleton Key,"10343-YA Adventure, Mystery & Thriller",2025-02-26 17:22:12.570,2,Zamalek,Found
17,9786010065017,ألهمن العالم,10008-A Biograpyhy & Correspondance,2025-02-26 17:29:34.827,2,Zamalek,Found
18,9789773138493,تاريخ العصامية والجر,10037-A Politics,2025-02-26 17:48:03.650,2,Zamalek,Found
19,9781913348922,Maybe You Should Tal,10236-E Therapy,2025-02-26 18:06:34.190,2,Zamalek,Found
20,اففح:ظظصصصزىشايثفةهسقزؤخةظ,,,2025-02-26 18:06:57.663,2,Zamalek,Not Found
21,9781728296227,The Boyfriend,10209-E Mystery & Thrillers,2025-02-26 18:07:40.130,2,Zamalek,Found
22,9781728296227,The Boyfriend,10209-E Mystery & Thrillers,2025-02-26 18:07:45.240,2,Zamalek,Found
23,9781913348922,Maybe You Should Tal,10236-E Therapy,2025-02-26 18:08:49.493,2,Zamalek,Found
24,9780857197689,The Psychology of Mo,10175-E Finance & Investment,2025-02-26 18:31:28.687,2,Zamalek,Found
25,842817038889,,,2025-02-26 18:56:47.980,2,Zamalek,Not Found
26,6224008792246,Egyptian Pharao 5 Co,10130-Coasters,2025-02-26 19:08:12.733,2,Zamalek,Found
27,9786009961409,Oregano Oil 15 ml,10311-Natural Beauty,2025-02-26 19:11:53.283,2,Zamalek,Found
28,9781398534759,The Lion Women of Te,10183-E General Fiction,2025-02-26 19:29:29.773,2,Zamalek,Found
29,9781949759273,Don’T F*Cking Panic,10214-E Personal Growth,2025-02-26 19:42:45.790,2,Zamalek,Found
30,9781945492846,Traces of Enayat,10199-E Literary Fiction,2025-02-26 19:51:48.893,2,Zamalek,Found
31,9789774164330,Egypt Visual Sourceb,10163-E Egypt Essentials,2025-02-26 19:55:59.120,2,Zamalek,Found
32,9781649031112,Islamic Cairo in Map,10238-E Travel Guides,2025-02-26 19:56:52.343,2,Zamalek,Found
33,9780670923175,Leaders Eat Last,10201-E Management & Leadership,2025-02-26 19:56:59.717,2,Zamalek,Found
34,9780241958223,Start With Why,10201-E Management & Leadership,2025-02-26 19:57:06.057,2,Zamalek,Found
35,9781912023011,Five Minutes in the,10391-E Journals,2025-02-26 19:59:27.127,2,Zamalek,Found
36,9781728296227,The Boyfriend,10209-E Mystery & Thrillers,2025-02-26 20:03:32.773,2,Zamalek,Found
37,9786010004515,مبخرة,10280-General Home accessories,2025-02-26 20:04:23.820,2,Zamalek,Found
38,9789770911754,ارنى الله,10009-A Classical Fiction,2025-02-26 20:20:12.390,2,Zamalek,Found
39,9781949759624,The Pivot Year,10214-E Personal Growth,2025-02-26 20:36:20.240,2,Zamalek,Found
40,9781914325113,Effendina,10205-E Middle East History & Current Affairs,2025-02-26 20:36:25.980,2,Zamalek,Found
41,9781783605941,Woman at Point Zero,10140-E Arabic Literature in Translation,2025-02-26 20:36:55.807,2,Zamalek,Found
42,9789776633940,سلوى,10008-A Biograpyhy & Correspondance,2025-02-26 21:01:53.787,2,Zamalek,Found
43,9789770939529,في دايرة الرحلة,10038-A Psychology,2025-02-26 21:04:53.833,2,Zamalek,Found
44,9786010042636,بلاطة حجر,10280-General Home accessories,2025-02-26 21:07:26.407,2,Zamalek,Found
45,9789953978574,السماح بالرحيل,10033-A Personal Growth,2025-02-26 21:08:05.273,2,Zamalek,Found
46,9789779923529,محادثات في الحب,10033-A Personal Growth,2025-02-26 21:09:21.763,2,Zamalek,Found
47,9781728296227,The Boyfriend,10209-E Mystery & Thrillers,2025-02-26 21:24:17.597,2,Zamalek,Found
48,9786010065017,ألهمن العالم,10008-A Biograpyhy & Correspondance,2025-02-26 21:41:25.283,2,Zamalek,Found
49,9786009932902,Wrapping Paper,10299-Gift Wrapping,2025-02-26 23:22:55.763,14,Maadi,Found
50,9780340923801,Power of a Positive,10201-E Management & Leadership,2025-02-26 23:23:11.503,14,Maadi,Found
51,power of now,,,2025-02-26 23:23:18.100,14,Maadi,Not Found
52,9780340733509,Power of Now,10232-E Spirituality,2025-02-26 23:23:25.693,14,Maadi,Found
53,9781250157683,Finale,10348-YA Fantasy,2025-02-26 23:24:24.240,3,Heliopolis,Found
54,9780340733509,Power of Now,10232-E Spirituality,2025-02-26 23:24:51.553,3,Heliopolis,Found
55,6223006022911,Karnak - Puzzle 500,,2025-02-27 00:55:01.083,3,Heliopolis,Not Found
56,9789776743205,خواطر سطحية سخيفة عن,,2025-02-27 00:55:02.257,3,Heliopolis,Not Found
57,9789776743205,خواطر سطحية سخيفة عن,,2025-02-27 00:55:02.910,3,Heliopolis,Not Found
